cat,year,type,count,killed
2,2007,10,41,0
2,2007,14,958,0
2,2007,4,350,0
2,2007,8,120,0
2,2007,21,49,0
2,2007,3,712,0
2,2007,2,329,0
2,2007,15,89,0
2,2007,1,235,0
2,2007,19,141,0
2,2007,6,13,0
2,2007,7,40,0
2,2007,11,5,0
2,2007,12,21,0
2,2007,17,29,0
2,2007,13,9,0
2,2007,18,6,0
2,2007,20,19,0
2,2007,16,9,0
2,2007,22,19,0
2,2007,5,2,0
2,2007,9,1,0
2,2008,1,499,0
2,2008,15,112,0
2,2008,3,473,0
2,2008,7,90,0
2,2008,2,715,0
2,2008,14,1598,0
2,2008,4,253,0
2,2008,17,149,0
2,2008,6,25,0
2,2008,8,161,0
2,2008,19,224,0
2,2008,10,60,0
2,2008,21,119,0
2,2008,11,7,0
2,2008,18,12,0
2,2008,20,67,0
2,2008,9,14,0
2,2008,12,60,0
2,2008,16,66,0
2,2008,5,2,0
2,2008,13,11,0
2,2008,22,38,0
2,2009,14,1666,0
2,2009,3,436,0
2,2009,19,233,0
2,2009,2,767,0
2,2009,4,128,0
2,2009,1,541,0
2,2009,22,44,0
2,2009,18,8,0
2,2009,8,216,0
2,2009,15,147,0
2,2009,21,137,0
2,2009,10,39,0
2,2009,16,56,0
2,2009,7,57,0
2,2009,13,7,0
2,2009,17,87,0
2,2009,11,9,0
2,2009,12,50,0
2,2009,20,48,0
2,2009,6,23,0
2,2009,9,7,0
2,2009,5,1,0
2,2010,14,1475,0
2,2010,8,264,0
2,2010,1,530,0
2,2010,3,559,0
2,2010,2,916,0
2,2010,19,219,0
2,2010,22,46,0
2,2010,17,128,0
2,2010,7,74,0
2,2010,12,36,0
2,2010,20,21,0
2,2010,15,125,0
2,2010,21,83,0
2,2010,4,186,0
2,2010,10,54,0
2,2010,16,55,0
2,2010,6,21,0
2,2010,9,11,0
2,2010,13,6,0
2,2010,18,5,0
2,2010,11,5,0
2,2011,14,1434,0
2,2011,3,727,0
2,2011,2,868,0
2,2011,15,136,0
2,2011,1,509,0
2,2011,17,147,0
2,2011,8,219,0
2,2011,9,10,0
2,2011,4,332,0
2,2011,20,79,0
2,2011,19,217,0
2,2011,6,15,0
2,2011,7,45,0
2,2011,21,159,0
2,2011,12,40,0
2,2011,22,25,0
2,2011,10,37,0
2,2011,16,46,0
2,2011,11,2,0
2,2011,13,2,0
2,2011,18,2,0
2,2012,1,567,0
2,2012,4,1779,0
2,2012,14,1696,0
2,2012,17,188,0
2,2012,2,853,0
2,2012,20,319,0
2,2012,3,1703,0
2,2012,5,4,0
2,2012,15,252,0
2,2012,8,323,0
2,2012,16,51,0
2,2012,21,156,0
2,2012,12,42,0
2,2012,22,88,0
2,2012,10,100,0
2,2012,19,197,0
2,2012,13,6,0
2,2012,7,94,0
2,2012,9,18,0
2,2012,18,18,0
2,2012,6,21,0
2,2012,11,1,0
2,2013,3,2344,0
2,2013,14,2471,0
2,2013,19,239,0
2,2013,2,1289,0
2,2013,17,281,0
2,2013,8,351,0
2,2013,12,52,0
2,2013,20,440,0
2,2013,4,2311,0
2,2013,1,892,0
2,2013,22,195,0
2,2013,15,409,0
2,2013,21,235,0
2,2013,7,111,0
2,2013,16,59,0
2,2013,10,179,0
2,2013,18,18,0
2,2013,6,22,0
2,2013,13,14,0
2,2013,11,10,0
2,2013,9,6,0
2,2013,5,2,0
2,2014,21,337,0
2,2014,1,1100,0
2,2014,14,4310,0
2,2014,20,913,0
2,2014,12,81,0
2,2014,4,3710,0
2,2014,3,2606,0
2,2014,2,1576,0
2,2014,22,137,0
2,2014,15,428,0
